veznu,icob,okres,pocobyv,muzi,zeny,muzu,zen,trest,vazba,dete,pct
1907,554782,Hlavní město Praha,1294513,629550,664963,1685,222,1764,137,6,0.15
21,529303,Benešov,16522,7906,8616,17,4,19,2,0,0.13
0,532568,Benešov,233,113,120,0,0,0,0,0,0
0,530743,Benešov,207,104,103,0,0,0,0,0,0
0,532380,Benešov,116,54,62,0,0,0,0,0,0
0,532096,Benešov,84,40,44,0,0,0,0,0,0
0,532924,Benešov,770,382,388,0,0,0,0,0,0
4,529451,Benešov,4370,2169,2201,4,0,3,1,0,0.09
1,532690,Benešov,133,68,65,0,1,0,1,0,0.75
0,529478,Benešov,124,63,61,0,0,0,0,0,0
1,529486,Benešov,1384,670,714,1,0,1,0,0,0.07
2,529516,Benešov,2822,1423,1399,2,0,2,0,0,0.07
0,529532,Benešov,329,163,166,0,0,0,0,0,0
0,529541,Benešov,155,72,83,0,0,0,0,0,0
1,529567,Benešov,688,326,362,1,0,0,1,0,0.15
1,532746,Benešov,62,32,30,0,1,1,0,0,1.61
1,529621,Benešov,1711,869,842,1,0,1,0,0,0.06
1,529648,Benešov,885,440,445,0,1,1,0,0,0.11
0,532151,Benešov,98,53,45,0,0,0,0,0,0
0,532843,Benešov,65,34,31,0,0,0,0,0,0
0,529702,Benešov,722,357,365,0,0,0,0,0,0
0,532932,Benešov,26,15,11,0,0,0,0,0,0
2,529737,Benešov,289,141,148,2,0,2,0,0,0.69
0,529745,Benešov,318,163,155,0,0,0,0,0,0
0,532886,Benešov,208,106,102,0,0,0,0,0,0
0,532878,Benešov,55,32,23,0,0,0,0,0,0
0,532045,Benešov,361,184,177,0,0,0,0,0,0
0,529770,Benešov,129,71,58,0,0,0,0,0,0
0,529788,Benešov,144,81,63,0,0,0,0,0,0
1,529796,Benešov,1257,619,638,1,0,1,0,0,0.08
0,532606,Benešov,69,35,34,0,0,0,0,0,0
1,529818,Benešov,558,282,276,1,0,1,0,0,0.18
0,532037,Benešov,239,114,125,0,0,0,0,0,0
0,529842,Benešov,935,430,505,0,0,0,0,0,0
0,529851,Benešov,116,61,55,0,0,0,0,0,0
0,532134,Benešov,128,60,68,0,0,0,0,0,0
0,531031,Benešov,136,70,66,0,0,0,0,0,0
0,529907,Benešov,181,95,86,0,0,0,0,0,0
1,533084,Benešov,265,144,121,1,0,1,0,0,0.38
1,529931,Benešov,509,251,258,1,0,1,0,0,0.2
0,529940,Benešov,317,145,172,0,0,0,0,0,0
0,529958,Benešov,1034,523,511,0,0,0,0,0,0
0,529974,Benešov,429,233,196,0,0,0,0,0,0
1,529991,Benešov,782,381,401,1,0,1,0,0,0.13
0,530000,Benešov,439,226,213,0,0,0,0,0,0
0,530026,Benešov,94,48,46,0,0,0,0,0,0
0,530051,Benešov,741,372,369,0,0,0,0,0,0
0,530069,Benešov,191,95,96,0,0,0,0,0,0
0,532258,Benešov,61,30,31,0,0,0,0,0,0
0,530093,Benešov,568,287,281,0,0,0,0,0,0
1,530107,Benešov,658,332,326,1,0,1,0,0,0.15
0,532193,Benešov,411,217,194,0,0,0,0,0,0
0,530115,Benešov,767,390,377,0,0,0,0,0,0
0,530158,Benešov,361,183,178,0,0,0,0,0,0
0,530166,Benešov,828,411,417,0,0,0,0,0,0
0,530174,Benešov,189,100,89,0,0,0,0,0,0
1,530191,Benešov,212,108,104,1,0,1,0,0,0.47
0,530204,Benešov,803,397,406,0,0,0,0,0,0
2,530212,Benešov,1067,552,515,2,0,2,0,0,0.19
0,530263,Benešov,715,352,363,0,0,0,0,0,0
3,530298,Benešov,1103,546,557,3,0,3,0,0,0.27
1,530301,Benešov,518,280,238,1,0,1,0,0,0.19
1,530310,Benešov,2622,1341,1281,1,0,1,0,0,0.04
0,530344,Benešov,1236,626,610,0,0,0,0,0,0
0,599395,Benešov,48,29,19,0,0,0,0,0,0
0,530352,Benešov,396,195,201,0,0,0,0,0,0
0,533076,Benešov,225,104,121,0,0,0,0,0,0
0,530409,Benešov,303,142,161,0,0,0,0,0,0
0,532649,Benešov,275,133,142,0,0,0,0,0,0
0,530441,Benešov,1313,649,664,0,0,0,0,0,0
1,530450,Benešov,1333,679,654,1,0,1,0,0,0.08
1,530476,Benešov,560,283,277,1,0,1,0,0,0.18
0,530492,Benešov,372,176,196,0,0,0,0,0,0
0,530514,Benešov,127,69,58,0,0,0,0,0,0
1,538680,Benešov,1938,932,1006,1,0,1,0,0,0.05
0,530522,Benešov,272,130,142,0,0,0,0,0,0
0,530531,Benešov,363,181,182,0,0,0,0,0,0
0,530549,Benešov,166,85,81,0,0,0,0,0,0
0,532550,Benešov,299,156,143,0,0,0,0,0,0
1,538710,Benešov,425,214,211,1,0,1,0,0,0.24
0,532941,Benešov,227,127,100,0,0,0,0,0,0
4,534382,Benešov,3722,1858,1864,4,0,3,1,0,0.11
0,532231,Benešov,37,20,17,0,0,0,0,0,0
1,530611,Benešov,270,139,131,1,0,1,0,0,0.37
0,532436,Benešov,109,60,49,0,0,0,0,0,0
0,530638,Benešov,404,205,199,0,0,0,0,0,0
