veznu,icob,okres,pocobyv,muzi,zeny,muzu,zen,trest,vazba,dete,pct,obec,prob_05,prob_50,prob_95,prob_diff_05,prob_diff_50,prob_diff_95
1907,554782,Hlavní město Praha,1294513,629550,664963,1685,222,1764,137,6,0.15,Praha,0.0014173586049415544,0.0014736291828083004,0.001528552530285865,1.818947662201032e-5,8.280921395587004e-5,1.4854868897973272e-4
21,529303,Benešov,16522,7906,8616,17,4,19,2,0,0.13,Benešov,8.787401009855312e-4,0.001263179054466268,0.001760014361748102,-5.07485800192109e-4,-1.302785606360768e-4,3.719821178603252e-4
0,532568,Benešov,233,113,120,0,0,0,0,0,0,Bernartice,3.0726497642036277e-4,0.0010914731317853699,0.002669289318663827,-0.001084938104482852,-3.045099159837972e-4,0.0012918603502863886
0,530743,Benešov,207,104,103,0,0,0,0,0,0,Bílkovice,2.796468971438149e-4,0.001084531881181905,0.0027447759664882437,-0.0011126161460601413,-3.053152875682752e-4,0.0013583488908504955
0,532380,Benešov,116,54,62,0,0,0,0,0,0,Blažejovice,3.101423788464897e-4,0.0011191061106110567,0.002919355663040666,-0.0010804695015075917,-2.700547623894489e-4,0.0015237532199444547
0,532096,Benešov,84,40,44,0,0,0,0,0,0,Borovnice,3.092447205365501e-4,0.0011309043117861406,0.002964735098248943,-0.0010759749063408764,-2.607759428233658e-4,0.001572094580073646
0,532924,Benešov,770,382,388,0,0,0,0,0,0,Bukovany,2.0406607172639425e-4,8.722522769206154e-4,0.002125627449762413,-0.0011800519743293213,-5.203395304352876e-4,7.498855351972476e-4
4,529451,Benešov,4370,2169,2201,4,0,3,1,0,0.09,Bystřice,4.7398297464779635e-4,9.830013873129984e-4,0.00180066228548637,-9.174173973561683e-4,-4.0733345269666765e-4,4.13919460979938e-4
1,532690,Benešov,133,68,65,0,1,0,1,0,0.75,Ctiboř,5.912638471546884e-4,0.001660062483482161,0.003633853002928365,-8.042607633972909e-4,2.674078854773554e-4,0.0022450561573250424
0,529478,Benešov,124,63,61,0,0,0,0,0,0,Čakov,2.9511532830001075e-4,0.0011105661479127171,0.002877378682397429,-0.0010906037509105183,-2.77359063123539e-4,0.0014881354737710678
1,529486,Benešov,1384,670,714,1,0,1,0,0,0.07,Čechtice,3.5336889285661477e-4,9.847715266897983e-4,0.002196884555696182,-0.0010398735132394698,-4.0252127874224053e-4,8.108390433501806e-4
2,529516,Benešov,2822,1423,1399,2,0,2,0,0,0.07,Čerčany,3.4462021387361426e-4,9.071260629835431e-4,0.001839240258976654,-0.0010464315086454457,-4.807085553660273e-4,4.462268338603076e-4
